,Date,Madison_Rent,US_Rent
0,2015-01-31,1145.6239199537806,1219.5051570300286
1,2015-02-28,1157.590699659477,1226.1109782846988
2,2015-03-31,1162.7367228686214,1235.15740617374
3,2015-04-30,1170.826342168993,1244.3644606251128
4,2015-05-31,1174.930531353826,1253.7368040895503
5,2015-06-30,1179.805865757325,1261.7983397657065
6,2015-07-31,1175.7725849622116,1267.7904134764688
7,2015-08-31,1181.5507150970263,1271.485845295646
8,2015-09-30,1178.165438495564,1273.539591716315
9,2015-10-31,1178.4577821487055,1274.0790609146509
10,2015-11-30,1183.0245097300512,1274.5791535700594
11,2015-12-31,1189.0740191950126,1275.048545418673
12,2016-01-31,1197.9951495748371,1278.235907246604
13,2016-02-29,1201.4478828122262,1283.3060099677784
14,2016-03-31,1202.7523057792955,1289.7178016595233
15,2016-04-30,1206.6920240142113,1297.6463547547428
16,2016-05-31,1201.6815196369462,1305.9894100299523
17,2016-06-30,1201.2202121188257,1314.3060467870496
18,2016-07-31,1198.632022291313,1319.2993347450124
19,2016-08-31,1202.0413868465705,1321.5829871392425
20,2016-09-30,1197.3948202036638,1321.5112987394375
21,2016-10-31,1198.9715067419183,1319.9767289253753
22,2016-11-30,1205.0979059720012,1318.7015476088386
23,2016-12-31,1214.3858963167954,1317.824503579842
24,2017-01-31,1221.2232284161953,1322.6028147390557
25,2017-02-28,1223.9815682024237,1330.4568407073612
26,2017-03-31,1234.2249503128903,1342.3688794141697
27,2017-04-30,1237.520809366614,1352.2727336205005
28,2017-05-31,1246.0558630618366,1361.8234914944387
29,2017-06-30,1248.6402346337968,1369.0925394481833
30,2017-07-31,1250.5040486762882,1374.1149353167243
31,2017-08-31,1244.5491236516532,1375.7843610612606
32,2017-09-30,1244.3726961620837,1376.067804164485
33,2017-10-31,1251.2419568036476,1374.5593844988591
34,2017-11-30,1254.0702838150935,1374.388956466814
35,2017-12-31,1253.4381212470764,1375.3620783877116
36,2018-01-31,1251.541328411628,1380.223010551298
37,2018-02-28,1259.2871515705665,1387.8701956467337
38,2018-03-31,1266.7090048659488,1397.607982449834
39,2018-04-30,1269.73194310033,1407.4126676088138
40,2018-05-31,1272.8958918381409,1415.8613800574028
41,2018-06-30,1276.7849814682927,1423.585720917457
42,2018-07-31,1280.5146336884688,1429.1771635051866
43,2018-08-31,1274.3543819291292,1432.4890441609257
44,2018-09-30,1274.0439179048385,1431.9279756942285
45,2018-10-31,1278.0030829205148,1431.082172338266
46,2018-11-30,1296.1716605620516,1431.7361468407391
47,2018-12-31,1298.0908945666354,1433.892255719809
48,2019-01-31,1302.5171392690686,1438.3494109283151
49,2019-02-28,1302.710765050536,1444.5954271613634
50,2019-03-31,1307.9115506972544,1455.0732593697564
51,2019-04-30,1308.261171312484,1465.3668741014017
52,2019-05-31,1310.6454030063685,1475.4097291209448
